Draw Date,Winning Numbers,Mega Ball,Multiplier
1/11/19,04 05 31 62 69,20,3
1/8/19,13 26 29 38 64,5,5
1/4/19,21 29 35 54 60,15,4
1/1/19,34 44 57 62 70,14,4
12/28/18,09 10 25 37 38,21,2
12/25/18,02 08 42 43 50,6,3
12/21/18,10 13 61 62 70,5,3
12/18/18,13 22 32 60 69,9,3
12/14/18,05 22 26 43 49,23,4
12/11/18,04 38 39 54 59,12,2
12/7/18,04 10 20 33 57,13,3
12/4/18,28 31 41 42 50,4,3
11/30/18,25 28 40 43 63,19,3
11/27/18,12 24 37 42 57,18,4
11/23/18,07 10 30 33 59,23,4
11/20/18,10 16 31 42 66,10,3
11/16/18,33 36 63 68 69,16,3
11/13/18,34 46 57 65 69,11,3
11/9/18,08 14 27 57 67,5,4
11/6/18,28 34 37 56 69,12,2
11/2/18,03 23 28 46 62,16,2
10/30/18,20 31 39 46 49,23,2
10/26/18,01 28 61 62 63,5,4
10/23/18,05 28 62 65 70,5,3
10/19/18,15 23 53 65 70,7,2
10/16/18,03 45 49 61 69,9,5
10/12/18,04 24 46 61 70,7,3
10/9/18,20 22 39 54 60,18,3
10/5/18,27 28 32 41 69,12,2
10/2/18,02 22 29 31 34,1,3
9/28/18,39 45 52 56 59,15,3
9/25/18,08 16 32 48 61,12,2
9/21/18,01 02 11 52 64,9,4
9/18/18,31 32 43 63 68,17,2
9/14/18,23 30 40 43 66,13,4
9/11/18,15 30 51 62 67,19,2
9/7/18,08 10 41 54 68,10,2
9/4/18,02 07 25 35 44,3,3
8/31/18,07 18 29 32 45,17,3
8/28/18,03 20 33 34 41,20,3
8/24/18,01 06 13 18 49,8,2
8/21/18,14 16 19 38 57,11,3
8/17/18,01 31 32 47 56,3,2
8/14/18,11 26 44 45 46,11,2
8/10/18,01 03 12 22 42,6,5
8/7/18,02 13 15 21 62,2,5
8/3/18,09 28 30 54 60,2,2
7/31/18,12 15 35 64 69,9,2
7/27/18,01 32 40 49 63,20,3
7/24/18,01 02 04 19 29,20,3
7/20/18,01 14 30 44 62,1,2
7/17/18,40 41 61 66 67,12,5
7/13/18,21 22 39 59 68,2,2
7/10/18,01 17 28 56 70,14,3
7/6/18,02 10 46 50 56,16,3
7/3/18,13 35 45 49 68,23,2
6/29/18,02 32 47 49 68,23,4
6/26/18,17 25 29 39 60,19,2
6/22/18,02 06 11 27 44,20,2
6/19/18,11 13 28 65 70,14,3
6/15/18,01 11 37 47 51,6,2
6/12/18,01 03 05 08 70,3,2
6/8/18,14 30 33 44 56,13,2
6/5/18,22 33 41 48 52,4,2
6/1/18,05 24 52 62 66,17,3
5/29/18,02 11 55 58 67,2,3
5/25/18,11 14 51 64 68,25,4
5/22/18,16 17 21 36 48,9,3
5/18/18,09 26 53 64 66,11,2
5/15/18,21 34 44 49 61,21,2
5/11/18,14 38 40 53 70,22,3
5/8/18,08 15 39 64 67,13,2
5/4/18,04 05 10 12 18,21,4
5/1/18,02 07 20 55 70,1,4
4/27/18,02 29 38 63 66,11,2
4/24/18,03 19 31 32 48,10,3
4/20/18,01 15 18 32 45,4,2
4/17/18,12 34 44 47 65,22,4
4/13/18,08 09 32 42 59,10,4
4/10/18,05 13 31 43 53,20,2
4/6/18,16 33 51 54 67,20,4
4/3/18,04 29 39 42 62,14,2
3/30/18,11 28 31 46 59,1,3
3/27/18,07 25 43 56 59,13,3
3/23/18,04 08 23 53 59,17,3
3/20/18,14 38 51 64 70,9,3
3/16/18,01 13 26 33 52,11,3
3/13/18,06 30 58 60 61,17,5
3/9/18,07 17 18 46 66,22,4
3/6/18,01 04 26 35 39,22,5
3/2/18,24 28 42 60 64,8,4
2/27/18,10 17 21 38 43,23,3
2/23/18,07 11 13 19 58,9,4
2/20/18,17 19 23 24 43,14,3
2/16/18,14 38 48 53 58,16,3
2/13/18,05 12 15 46 49,1,4
2/9/18,28 34 41 46 47,14,3
2/6/18,14 17 25 48 58,25,3
2/2/18,01 04 14 17 40,4,3
1/30/18,29 41 42 49 57,24,3
1/26/18,10 16 27 38 43,1,4
1/23/18,02 06 30 31 55,7,4
1/19/18,03 17 23 49 66,23,3
1/16/18,03 11 23 29 59,18,3
1/12/18,17 18 33 46 60,24,4
1/9/18,16 29 31 65 67,23,3
1/5/18,28 30 39 59 70,10,3
1/2/18,01 42 47 64 70,22,4
12/29/17,04 10 18 28 62,7,2
12/26/17,10 12 20 38 41,25,4
12/22/17,01 20 30 33 42,16,4
12/19/17,28 37 39 42 58,2,3
12/15/17,04 12 36 44 57,19,4
12/12/17,08 23 24 25 27,9,2
12/8/17,06 37 46 60 70,24,2
12/5/17,14 15 37 42 67,22,4
12/1/17,16 22 40 41 59,8,4
11/28/17,10 17 47 51 61,5,2
11/24/17,16 36 54 61 64,22,3
11/21/17,03 07 22 27 50,3,3
11/17/17,03 26 55 58 70,15,4
11/14/17,01 14 21 22 28,19,3
11/10/17,06 23 38 42 58,24,2
11/7/17,01 54 60 68 69,11,4
11/3/17,10 22 42 61 69,3,2
10/31/17,06 28 31 52 53,12,4
10/27/17,17 27 41 51 52,13,5
10/24/17,20 24 34 56 64,6,4
10/20/17,06 23 63 66 73,9,2
10/17/17,31 45 49 56 70,11,5
10/13/17,02 07 18 26 31,12,2
10/10/17,07 16 24 61 62,2,5
10/6/17,21 33 36 45 56,12,5
10/3/17,12 18 19 25 67,7,5
9/29/17,25 51 62 73 74,7,5
9/26/17,01 10 57 66 75,4,4
9/22/17,05 39 54 63 66,15,5
9/19/17,09 28 31 50 61,10,2
9/15/17,18 24 34 38 58,3,4
9/12/17,26 37 41 54 65,3,4
9/8/17,04 05 14 26 73,14,3
9/5/17,11 17 59 70 72,1,3
9/1/17,04 13 31 50 64,12,5
8/29/17,02 13 17 35 73,3,3
8/25/17,17 38 42 51 65,11,5
8/22/17,24 35 46 50 51,7,4
8/18/17,01 31 34 40 75,6,3
8/15/17,07 16 20 66 73,7,2
8/11/17,23 33 53 56 58,6,5
8/8/17,11 17 50 52 74,14,2
8/4/17,09 17 25 63 71,4,5
8/1/17,20 22 52 57 73,7,5
7/28/17,04 06 31 49 52,11,3
7/25/17,02 05 26 58 60,6,3
7/21/17,18 31 36 50 74,10,4
7/18/17,08 12 23 51 73,6,4
7/14/17,11 12 24 32 73,1,4
7/11/17,07 18 24 55 74,10,2
7/7/17,02 09 11 28 60,10,5
7/4/17,16 39 47 53 71,15,4
6/30/17,10 38 51 55 64,6,5
6/27/17,04 21 45 52 57,14,4
6/23/17,12 20 53 66 74,11,2
6/20/17,02 15 41 49 63,3,3
6/16/17,18 22 26 30 44,9,5
6/13/17,27 51 62 68 75,8,3
6/9/17,03 16 28 33 37,9,5
6/6/17,03 05 16 49 75,5,3
6/2/17,07 42 57 69 72,10,3
5/30/17,05 20 32 37 67,5,5
5/26/17,25 26 28 37 56,5,3
5/23/17,06 13 17 33 60,14,2
5/19/17,01 04 05 24 30,1,3
5/16/17,04 35 39 56 72,11,5
5/12/17,28 34 41 42 47,13,4
5/9/17,06 29 45 69 73,11,5
5/5/17,04 23 33 47 53,7,4
5/2/17,05 14 42 43 58,1,4
4/28/17,06 13 18 20 31,13,4
4/25/17,03 13 33 40 50,2,4
4/21/17,01 12 13 32 34,10,2
4/18/17,08 29 30 43 64,6,3
4/14/17,05 10 55 60 73,12,5
4/11/17,19 34 35 38 49,8,5
4/7/17,30 33 43 47 69,15,5
4/4/17,13 24 34 35 55,9,5
3/31/17,17 24 27 32 58,10,3
3/28/17,30 33 35 37 46,10,5
3/24/17,05 28 37 61 69,1,5
3/21/17,04 45 53 73 75,7,3
3/17/17,11 27 31 58 60,10,4
3/14/17,16 23 28 33 59,13,3
3/10/17,26 38 42 58 70,5,5
3/7/17,03 30 45 53 68,11,3
3/3/17,14 26 39 48 51,9,5
2/28/17,20 33 45 58 69,4,2
2/24/17,12 29 33 42 68,14,3
2/21/17,09 21 30 32 75,9,5
2/17/17,04 56 58 67 75,8,5
2/14/17,07 11 33 60 68,15,5
2/10/17,32 39 51 62 75,14,5
2/7/17,23 28 37 56 71,12,5
2/3/17,03 06 29 30 64,3,5
1/31/17,03 14 27 62 72,4,3
1/27/17,17 37 53 54 61,8,3
1/24/17,08 42 54 63 67,11,4
1/20/17,07 09 24 41 53,14,3
1/17/17,20 31 54 56 59,3,5
1/13/17,10 44 58 74 75,11,3
1/10/17,11 20 40 41 59,15,5
1/6/17,06 10 44 47 54,6,5
1/3/17,14 16 23 49 53,12,2
12/30/16,06 21 33 39 43,2,2
12/27/16,02 28 30 38 39,11,4
12/23/16,21 30 39 60 69,15,5
12/20/16,01 12 14 48 65,2,5
12/16/16,01 08 15 36 43,6,5
12/13/16,02 15 26 34 41,14,5
12/9/16,19 27 47 67 68,1,5
12/6/16,13 34 48 53 63,12,4
12/2/16,03 33 35 49 51,1,2
11/29/16,22 33 49 51 59,8,4
11/25/16,44 47 49 69 75,10,3
11/22/16,01 43 45 66 69,7,5
11/18/16,31 32 49 55 58,15,5
11/15/16,09 17 23 57 71,6,3
11/11/16,16 40 47 53 59,11,5
11/8/16,46 48 53 61 74,12,4
11/4/16,10 29 32 44 46,10,3
11/1/16,19 24 31 39 45,13,2
10/28/16,07 38 46 57 66,2,5
10/25/16,08 09 24 49 67,13,3
10/21/16,12 43 44 48 66,3,4
10/18/16,07 24 28 65 74,1,2
10/14/16,07 27 60 64 74,5,3
10/11/16,36 39 42 45 48,3,2
10/7/16,24 37 42 50 65,14,2
10/4/16,18 29 30 54 66,1,5
9/30/16,21 30 47 50 57,9,5
9/27/16,14 16 26 53 72,4,4
9/23/16,01 05 08 25 62,14,3
9/20/16,02 22 34 62 72,2,5
9/16/16,13 21 28 34 40,15,3
9/13/16,06 15 17 39 56,15,3
9/9/16,01 34 43 44 63,11,4
9/6/16,25 37 58 69 75,8,3
9/2/16,22 28 41 46 60,3,3
8/30/16,28 32 41 51 71,11,4
8/26/16,10 11 31 41 44,14,2
8/23/16,02 07 46 61 66,1,2
8/19/16,22 37 45 65 73,13,5
8/16/16,02 43 52 62 63,6,5
8/12/16,04 41 44 56 69,10,4
8/9/16,12 19 20 44 66,1,5
8/5/16,05 18 28 54 74,6,4
8/2/16,03 12 36 54 70,12,5
7/29/16,11 16 19 31 48,4,5
7/26/16,01 04 31 36 54,9,3
7/22/16,08 24 25 26 30,7,4
7/19/16,03 34 54 65 66,4,5
7/15/16,16 51 52 56 58,4,2
7/12/16,06 08 22 46 68,4,4
7/8/16,08 19 20 55 73,5,2
7/5/16,29 46 53 64 73,10,5
7/1/16,20 41 42 45 49,14,2
6/28/16,15 17 20 35 55,7,2
6/24/16,11 14 54 57 63,11,5
6/21/16,06 13 21 49 50,10,5
6/17/16,20 23 30 44 59,9,5
6/14/16,36 37 38 52 62,6,5
6/10/16,34 61 66 67 68,7,5
6/7/16,25 48 51 65 72,4,4
6/3/16,32 54 65 66 71,10,3
5/31/16,09 31 34 41 49,8,5
5/27/16,18 41 50 68 70,9,3
5/24/16,11 50 51 70 75,15,4
5/20/16,19 24 26 40 68,8,2
5/17/16,17 24 27 48 75,6,3
5/13/16,20 21 38 54 66,7,4
5/10/16,12 22 46 56 74,4,3
5/6/16,14 26 27 32 36,7,4
5/3/16,28 29 33 36 45,15,5
4/29/16,05 06 37 55 74,10,5
4/26/16,14 16 17 28 48,2,2
4/22/16,02 19 21 42 60,13,5
4/19/16,09 28 40 57 65,2,5
4/15/16,09 10 34 37 73,9,5
4/12/16,07 11 59 62 63,3,5
4/8/16,31 38 52 65 71,15,3
4/5/16,13 45 52 53 57,10,5
4/1/16,25 28 33 41 69,6,2
3/29/16,33 38 40 46 49,15,5
3/25/16,04 11 12 35 46,12,2
3/22/16,06 19 34 38 70,5,5
3/18/16,05 08 57 59 73,13,5
3/15/16,18 26 30 44 68,7,4
3/11/16,14 18 48 54 71,13,4
3/8/16,27 37 54 66 69,5,5
3/4/16,21 26 33 48 73,14,4
3/1/16,01 29 33 34 55,6,5
2/26/16,03 15 19 62 74,14,4
2/23/16,16 32 39 53 57,10,5
2/19/16,02 27 41 50 75,4,4
2/16/16,09 31 33 46 64,4,3
2/12/16,01 07 44 68 73,1,3
2/9/16,03 42 46 56 71,13,4
2/5/16,04 06 23 55 75,2,3
2/2/16,07 13 25 51 70,9,4
1/29/16,20 28 49 51 52,6,2
1/26/16,14 27 39 50 69,2,2
1/22/16,21 25 40 46 56,3,5
1/19/16,02 17 31 39 47,9,2
1/15/16,29 41 53 54 70,12,2
1/12/16,15 27 29 31 48,15,4
1/8/16,11 39 51 57 75,2,5
1/5/16,01 04 36 48 57,13,5
1/1/16,07 18 37 38 39,9,5
12/29/15,20 25 55 62 74,7,3
12/25/15,15 25 29 44 51,4,4
12/22/15,11 21 40 50 70,15,3
12/18/15,06 23 24 28 62,7,5
12/15/15,18 25 47 51 61,5,5
12/11/15,14 20 43 54 69,5,4
12/8/15,07 17 37 49 73,15,3
12/4/15,26 42 47 61 73,6,5
12/1/15,05 07 25 50 59,12,2
11/27/15,16 20 39 56 59,12,3
11/24/15,02 19 30 38 70,8,4
11/20/15,09 12 29 37 67,15,2
11/17/15,12 14 18 24 61,10,3
11/13/15,17 18 31 35 59,9,5
11/10/15,08 17 20 45 71,4,4
11/6/15,10 31 35 50 72,8,3
11/3/15,16 29 44 69 74,12,5
10/30/15,17 41 51 53 56,15,5
10/27/15,09 26 27 29 74,4,3
10/23/15,25 32 37 45 70,1,5
10/20/15,06 25 35 38 52,4,4
10/16/15,02 38 48 61 68,4,3
10/13/15,07 09 24 38 52,1,5
10/9/15,08 09 21 63 75,14,4
10/6/15,17 58 63 64 66,13,3
10/2/15,04 14 29 31 47,9,2
9/29/15,08 21 30 61 62,9,3
9/25/15,03 08 38 51 64,4,5
9/22/15,28 30 38 45 51,8,5
9/18/15,17 34 35 51 65,7,3
9/15/15,07 20 35 49 56,9,4
9/11/15,05 11 31 50 67,14,2
9/8/15,19 20 36 41 46,7,3
9/4/15,17 21 39 52 57,5,5
9/1/15,02 05 35 40 54,13,5
8/28/15,13 35 40 60 68,9,4
8/25/15,05 44 54 59 63,1,5
8/21/15,13 15 21 41 72,1,5
8/18/15,02 07 33 39 53,9,3
8/14/15,12 15 20 52 71,3,4
8/11/15,03 08 29 57 68,8,4
8/7/15,01 38 53 63 66,10,3
8/4/15,02 19 44 51 57,14,2
7/31/15,28 32 33 40 46,10,4
7/28/15,08 35 61 68 75,15,5
7/24/15,10 12 26 60 62,13,5
7/21/15,20 30 62 65 74,1,5
7/17/15,06 17 30 31 41,15,3
7/14/15,19 24 30 35 72,5,3
7/10/15,24 27 45 51 54,8,3
7/7/15,06 15 16 28 49,14,3
7/3/15,33 50 64 71 72,9,4
6/30/15,11 17 34 43 50,15,4
6/26/15,12 23 33 47 50,3,5
6/23/15,06 13 38 56 70,2,5
6/19/15,04 35 36 52 68,8,3
6/16/15,08 19 26 56 67,14,2
6/12/15,01 40 42 56 62,2,5
6/9/15,06 16 17 25 36,7,5
6/5/15,07 22 27 41 49,10,4
6/2/15,02 09 11 22 23,12,4
5/29/15,20 27 38 49 66,2,4
5/26/15,01 39 52 69 72,12,4
5/22/15,03 14 15 25 48,8,5
5/19/15,10 12 21 29 65,10,5
5/15/15,11 17 21 36 74,15,5
5/12/15,14 30 33 36 44,2,5
5/8/15,09 21 25 66 72,7,3
5/5/15,11 21 42 62 71,7,5
5/1/15,17 18 61 66 74,3,3
4/28/15,22 27 55 58 63,11,5
4/24/15,24 25 29 47 67,4,4
4/21/15,31 33 35 41 69,11,5
4/17/15,15 18 29 41 50,5,2
4/14/15,03 07 25 68 71,3,5
4/10/15,06 11 32 46 68,9,2
4/7/15,05 15 22 26 64,6,4
4/3/15,10 36 47 63 74,2,5
3/31/15,08 26 41 61 73,11,5
3/27/15,17 21 36 58 70,3,5
3/24/15,02 23 32 45 55,12,2
3/20/15,07 50 54 61 75,7,4
3/17/15,11 27 44 45 58,3,5
3/13/15,08 22 30 42 45,3,5
3/10/15,10 14 19 30 73,14,5
3/6/15,30 48 55 68 73,5,3
3/3/15,09 11 42 44 50,3,4
2/27/15,07 49 53 60 64,4,2
2/24/15,15 23 26 45 66,4,3
2/20/15,02 06 08 52 66,13,3
2/17/15,06 45 50 65 66,1,5
2/13/15,04 20 44 65 74,14,3
2/10/15,07 42 53 58 71,15,2
2/6/15,05 06 17 33 68,13,3
2/3/15,11 22 25 58 69,13,5
1/30/15,18 31 39 45 55,6,5
1/27/15,05 26 27 44 57,7,3
1/23/15,14 15 32 68 72,8,2
1/20/15,31 35 56 59 63,6,5
1/16/15,26 32 44 45 58,11,3
1/13/15,12 20 25 50 51,7,5
1/9/15,37 49 50 56 57,8,5
1/6/15,12 20 27 38 75,4,3
1/2/15,13 15 35 62 74,12,4
12/30/14,03 07 44 63 67,12,4
12/26/14,02 05 10 20 38,14,3
12/23/14,04 10 31 56 66,7,3
12/19/14,14 18 58 59 68,4,3
12/16/14,41 58 68 72 73,1,5
12/12/14,02 31 46 58 65,7,5
12/9/14,27 45 49 51 52,14,5
12/5/14,04 05 11 51 59,5,5
12/2/14,13 18 22 49 62,11,5
11/28/14,08 26 29 36 47,10,3
11/25/14,10 11 29 47 56,4,2
11/21/14,03 12 35 37 63,15,2
11/18/14,37 39 53 68 75,6,2
11/14/14,03 49 61 62 68,15,5
11/11/14,23 25 28 30 75,11,5
11/7/14,31 35 41 65 66,5,5
11/4/14,09 15 24 39 41,1,4
10/31/14,11 29 36 58 67,15,2
10/28/14,03 50 57 58 60,11,5
10/24/14,02 14 21 28 55,3,3
10/21/14,05 35 37 41 66,11,5
10/17/14,21 31 43 56 60,12,4
10/14/14,11 37 46 64 68,15,3
10/10/14,02 32 35 50 59,3,5
10/7/14,16 29 46 48 55,2,3
10/3/14,03 20 34 58 67,6,3
9/30/14,03 16 52 54 61,6,5
9/26/14,17 26 35 46 62,9,5
9/23/14,21 24 25 40 43,12,5
9/19/14,16 25 27 29 34,2,2
9/16/14,25 45 51 53 73,2,2
9/12/14,18 28 33 36 42,7,3
9/9/14,25 34 55 70 71,1,4
9/5/14,07 12 20 24 59,7,2
9/2/14,01 08 54 69 72,1,3
8/29/14,03 26 45 58 73,12,2
8/26/14,29 31 51 60 64,1,5
8/22/14,05 31 34 41 74,3,5
8/19/14,22 39 56 67 71,15,4
8/15/14,16 19 28 29 68,9,2
8/12/14,32 53 60 63 68,6,4
8/8/14,09 16 61 70 75,7,5
8/5/14,25 28 36 45 53,6,5
8/1/14,13 29 34 37 72,6,5
7/29/14,02 08 16 43 74,1,4
7/25/14,22 29 33 41 68,12,5
7/22/14,14 18 22 31 47,15,3
7/18/14,05 08 59 65 72,3,3
7/15/14,02 04 17 36 40,5,2
7/11/14,09 13 30 35 69,10,5
7/8/14,14 25 27 48 49,9,5
7/4/14,16 33 39 58 69,2,5
7/1/14,09 22 38 47 49,15,3
6/27/14,15 29 31 46 64,10,3
6/24/14,13 17 24 47 65,10,4
6/20/14,01 22 25 29 56,3,5
6/17/14,10 14 24 47 60,3,4
6/13/14,07 38 46 49 56,1,5
6/10/14,02 10 24 26 74,7,5
6/6/14,12 29 37 49 72,9,4
6/3/14,19 28 62 66 74,6,3
5/30/14,10 13 42 43 62,2,4
5/27/14,01 06 10 46 58,13,2
5/23/14,12 14 21 38 70,15,4
5/20/14,10 40 63 64 69,7,2
5/16/14,13 14 16 50 56,11,5
5/13/14,37 46 48 70 74,1,2
5/9/14,10 28 39 51 59,14,2
5/6/14,18 20 27 48 51,5,3
5/2/14,01 18 26 35 40,13,5
4/29/14,07 43 59 61 66,3,3
4/25/14,03 11 18 20 66,9,2
4/22/14,02 18 19 49 50,1,3
4/18/14,18 25 38 45 63,9,2
4/15/14,04 39 46 47 70,13,3
4/11/14,03 42 44 47 57,8,5
4/8/14,35 36 41 60 71,3,3
4/4/14,01 10 15 41 54,9,2
4/1/14,10 23 68 74 75,9,5
3/28/14,02 03 09 50 73,12,3
3/25/14,19 26 51 57 73,15,3
3/21/14,02 23 30 35 53,10,5
3/18/14,11 19 24 33 51,7,3
3/14/14,07 20 40 54 69,12,3
3/11/14,09 14 56 57 69,10,4
3/7/14,11 13 51 57 69,1,4
3/4/14,10 29 31 35 45,10,2
2/28/14,03 31 50 58 59,6,4
2/25/14,12 18 25 35 66,15,5
2/21/14,23 29 32 45 46,15,5
2/18/14,23 29 31 37 70,14,5
2/14/14,20 28 35 71 72,7,3
2/11/14,43 64 67 71 73,4,2
2/7/14,11 21 23 35 64,10,3
2/4/14,25 44 49 60 73,9,3
1/31/14,03 09 13 47 52,8,4
1/28/14,07 16 28 53 60,2,3
1/24/14,22 45 46 47 65,10,5
1/21/14,08 23 33 45 52,4,4
1/17/14,01 10 26 31 51,11,4
1/14/14,04 23 26 62 69,13,3
1/10/14,08 28 36 37 57,8,3
1/7/14,13 34 56 62 64,6,5
1/3/14,22 24 25 40 70,5,5
12/31/13,08 12 34 52 58,8,3
12/27/13,04 15 35 48 49,11,5
12/24/13,23 34 53 58 73,2,3
12/20/13,03 04 31 49 57,6,2
12/17/13,08 14 17 20 39,7,4
12/13/13,19 24 26 27 70,12,2
12/10/13,05 12 22 41 65,13,2
12/6/13,11 29 44 63 64,3,3
12/3/13,07 12 41 44 59,3,3
11/29/13,09 41 43 47 57,5,4
11/26/13,27 44 59 74 75,3,5
11/22/13,17 23 35 36 44,8,3
11/19/13,14 15 29 49 63,2,3
11/15/13,25 44 49 54 63,8,4
11/12/13,20 30 32 42 71,15,5
11/8/13,41 42 51 57 65,7,2
11/5/13,02 11 42 64 74,2,5
11/1/13,32 35 49 62 67,1,5
10/29/13,20 33 50 53 54,7,3
10/25/13,06 16 45 54 60,15,2
10/22/13,02 03 19 52 71,14,5
10/15/13,04 23 30 43 50,11,4
10/11/13,03 27 37 45 48,46,4
10/8/13,06 15 19 23 40,5,3
10/4/13,04 16 24 25 44,5,3
10/1/13,07 10 30 37 53,1,3
9/27/13,09 23 27 49 51,38,2
9/24/13,04 11 32 39 40,33,3
9/20/13,01 15 20 21 47,34,2
9/17/13,06 15 27 31 39,25,2
9/13/13,09 22 28 48 54,8,4
9/10/13,02 12 18 54 56,1,3
9/6/13,02 16 17 22 41,31,4
9/3/13,04 13 14 28 41,28,3
8/30/13,06 19 24 43 44,33,2
8/27/13,04 07 30 36 38,38,4
8/23/13,01 09 17 20 53,14,4
8/20/13,13 28 35 38 41,33,3
8/16/13,07 13 26 36 46,37,4
8/13/13,02 31 32 37 41,40,4
8/9/13,11 20 30 34 38,12,3
8/6/13,01 11 16 51 55,41,3
8/2/13,08 21 23 25 39,4,2
7/30/13,25 27 36 42 44,39,3
7/26/13,04 22 23 27 38,42,4
7/23/13,25 32 35 50 51,46,3
7/19/13,16 20 24 39 42,46,3
